#TAXONOMY	Kingdom	Phyla	Class	Order	Family	Genus	Species
6b0bc88f22f9f1a88fd204bc5d6ea537	Fungi	Ascomycota	Leotiomycetes	Helotiales	Unknown	Unknown	Unknown
e3564cda8d6ff3f688e08007f687339c	Fungi	Ascomycota	Sordariomycetes	Unknown	Unknown	Unknown	Unknown
0e37a2dd1fb0d14c99573e2a337fbf22	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Stachybotryaceae	Achroiostachys	Unknown
ae52c85fa23358a37bc2f5fb4f6acfcf	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiales_fam_Incertae_sedis	Leohumicola	Leohumicola_atra
c62b86f96e89d0803162db1650ad418e	Fungi	Ascomycota	Sordariomycetes	Coniochaetales	Coniochaetaceae	Coniochaeta	Coniochaeta_vineae
3c1ad10dd0ee2a7fa0b5c892b0c4a105	Fungi	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown
0f369effcf6aaa4f92b4f957edd07628	Fungi	Ascomycota	Leotiomycetes	Leotiales	Cochlearomycetaceae	Satchmopsis	Satchmopsis_metrosideri
d631d5e579c9486453cac6de1e2b8541	Fungi	Ascomycota	Sordariomycetes	Sordariales	Chaetomiaceae	Trichocladium	Unknown
d244105f2cc513eea84e46290f34fdd4	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Unknown	Unknown
2d0ab81d5bb32f85d8a783e360e8fbfe	Fungi	Ascomycota	Unknown	Unknown	Unknown	Unknown	Unknown
181bd802f94110ea266fe564720b98c6	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Ilyonectria	Ilyonectria_mors-panacis
076897d3edabbf7c5cd6f2abcaefa802	Fungi	Basidiomycota	Microbotryomycetes	Leucosporidiales	Leucosporidiaceae	Leucosporidium	Leucosporidium_escuderoi
b0e1f0c4df8ba15be1460144a854f900	Fungi	Ascomycota	Leotiomycetes	Thelebolales	Pseudeurotiaceae	Pseudeurotium	Pseudeurotium_desertorum
ee01566ebd90019d9b3811388a3116cc	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Unknown	Unknown	Unknown
93351270042a063a71f1fa6efdccb8f4	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiales_fam_Incertae_sedis	Chalara	Chalara_recta
ebd70ab575379d2c7738f29126ec5d97	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	Unknown	Unknown
60bfdc1680e6daf3837c38e5b3af20c7	Fungi	Ascomycota	Leotiomycetes	Helotiales	Hyaloscyphaceae	Hyaloscyphaceae_gen_Incertae_sedis	Hyaloscyphaceae_sp
dbbcdc8999c57203139c805918b712d9	Fungi	Basidiomycota	Agaricomycetes	Russulales	Russulaceae	Lactarius	Lactarius_aurantiacopallens
5a4a53c296ea4c21d89a59d5dfdf394a	Fungi	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown
a017fce0095db6c9b2a90660eb2a113a	Fungi	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown
bd23ea38cf1ca5c87a185c10db61ded1	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Unknown	Unknown
481a783a615c9b571941a8ebc51c9b51	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Linnemannia	Linnemannia_camargensis
b4327b0513fbf269bc07887a37812b29	Fungi	Ascomycota	Unknown	Unknown	Unknown	Unknown	Unknown
84221849b711376ac0b70305d2f9d995	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Unknown	Unknown	Unknown
63d659e9fee40d2b6fe37e2dbfabf753	Fungi	Basidiomycota	Unknown	Unknown	Unknown	Unknown	Unknown
0a4e52bd26e0f0a05cb657abdd913509	Fungi	Basidiomycota	Microbotryomycetes	Leucosporidiales	Leucosporidiaceae	Leucosporidium	Leucosporidium_escuderoi
fe49e36e481ff2d340f4a6c92b1bb9ef	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Linnemannia	Linnemannia_amoeboidea
6051c1ccc4a83159a02d0fa0f47bcc76	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Unknown	Unknown
5004f8e0d496b3b4b4d463c31b61b383	Fungi	Basidiomycota	Microbotryomycetes	Leucosporidiales	Leucosporidiaceae	Leucosporidium	Leucosporidium_escuderoi
826aa6668b1bd191e9567660067ca366	Fungi	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown
eed1c92967aa88874ffea579439c4317	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	Unknown
0178f579f47284ad6f111114634cb48b	Fungi	Basidiomycota	Agaricomycetes	Cantharellales	Ceratobasidiaceae	Ceratobasidiaceae_gen_Incertae_sedis	Ceratobasidiaceae_sp
