Feature ID	Taxon	Phyla	Class	Order	Family	Genus	Species	Sequence_Hierarchy	Guild	Trophic_Mode
caaad348f3a10c01345df717a42b8f52	Fungi									Unknown
a45b17bf2bdf394e4b35b8c89e8d1d16	Fungi	Ascomycota	Leotiomycetes	Helotiales						Unknown
8607f7cfd56ddefba8ebb3b04c8a2193	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae					Multiple
6c29061960961c4f73b8893374e20723	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Funneliformis			Arbuscular Mycorrhizal	Symbiotroph
36d02bc0721102d13047192d3d4211f8	Fungi	Basidiomycota								Unknown
32d652df9c61edd22e0e90571e1a9312	Fungi	Ascomycota	Leotiomycetes	Helotiales						Unknown
eb61a0281a77e6855dcf484f9a63f70b	Fungi	Basidiomycota								Unknown
ac125250ce82d4e49c02bd3ca572640a	Fungi	Ascomycota								Unknown
147513b044d4375ec112eecedcc20be3	Fungi	Ascomycota	Leotiomycetes	Helotiales	Tricladiaceae	Tricladium	Tricladium_marylandicum	SH1513132.09FU	Plant Saprotroph	Saprotroph
37b272d1f6819841471272ff1c2f1255	Fungi									Unknown
02b7c7e80203de9f48f85bf24ba74200	Fungi									Unknown
9fb2ec644bb7d6035c24c0d55d0117d4	Fungi	Ascomycota	Dothideomycetes	Mycosphaerellales	Teratosphaeriaceae	Pseudoteratosphaeria	Pseudoteratosphaeria_perpendicularis	SH1707967.09FU	Plant Pathogen	Multiple
505bdd10f20c7561c15ad16011435009	Fungi	Ascomycota								Unknown
5ca6aa8dbaf75e955dd6388b16e180b2	Fungi	Ascomycota								Unknown
bab415e332fc399217ad2d5729e8a083	Fungi	Ascomycota								Unknown
2a4fe307617b797221e97224355c797d	Fungi	Ascomycota								Unknown
f8fbcd5207e1c243b6671f42587dd3c3	Fungi	Ascomycota	Leotiomycetes	Helotiales						Unknown
3a1043c62be7b26390aa92cab0e04768	Fungi	Basidiomycota	Agaricomycetes							Unknown
395cb0dc9883e32948b3b15d9cfdac4c	Fungi	Ascomycota								Unknown
b51c72fcb4f4103a0372e0d482818d92	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae					Multiple
0f16f72d883103c062e90ce9b9744ee9	Fungi	Ascomycota								Unknown
561dd25cfd3e3c62df646467f5cec5f3	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Cortinariaceae	Cortinarius			Ectomycorrhizal	Symbiotroph
c69279c375f395e4da401b205ee5e2d8	Fungi	Ascomycota	Leotiomycetes	Helotiales						Unknown
1d43a06bfffb96dafd03f183336a576d	Fungi	Ascomycota								Unknown
ef97c844afe68cfc05e10713be2b0bbc	Fungi	Basidiomycota	Agaricomycetes	Agaricales						Multiple
abbd4456eef5ffb6826baac4dcc05795	Fungi	Basidiomycota	Agaricomycetes							Unknown
5a56843c2e7566f1d98d2c275d7a8619	Fungi	Basidiomycota	Agaricomycetes	Agaricales						Multiple
3ce7d195a5a13826520fe9b966619777	Fungi	Ascomycota	Eurotiomycetes							Unknown
e3972b47ad0a715eb67ee176b6a204a5	Fungi	Ascomycota	Leotiomycetes	Helotiales						Unknown
bc6413d59f3a27cd1411fdba07eec350	Fungi									Unknown
e0c3d6395c6d9392450ff30dec03a1b7	Fungi	Ascomycota	Leotiomycetes	Helotiales						Unknown
ffe8f2c6d9da8da73e3341bf286e2f05	Fungi	Basidiomycota	Agaricomycetes							Unknown
baff6170f0dc8b2ddcd2be563a9d2ce7	Fungi	Basidiomycota	Agaricomycetes							Unknown
3e52b800a2c5dc966e9798abba59c3cd	Fungi									Unknown
0684e72aa24720b50a8064c37eaba257	Fungi	Basidiomycota	Tremellomycetes							Unknown
82f07e135109a3e7ff1811b22ab4b779	Fungi	Basidiomycota	Agaricomycetes	Sebacinales	Serendipitaceae	Serendipitaceae_gen_Incertae_sedis	Serendipitaceae_sp	SH1921079.09FU		Unknown
1563bd3e79cf81cc869f5dba2d10ad59	Fungi	Glomeromycota	Glomeromycetes						Arbuscular Mycorrhizal	Symbiotroph
3f75ee85e1fb06f205e2eb2846d36b73	Fungi	Glomeromycota	Glomeromycetes	Diversisporales	Diversisporaceae	Diversispora	Diversispora_spurca		Arbuscular Mycorrhizal	Symbiotroph
8fdb7564bdba61d780fe2863649592df	Fungi	Ascomycota								Unknown
