SampleID	Treatment	Moisture	Salvage_Harvest_Status	Height	MeanCanWidth	RootDryMass	Aboveground_Biomass	RoottoShootRatio
2Post_W_2	2nd_Post_MPB	Wet	Salvage_Harvested	2	0.85	0.0157	0.0164	0.957317073
2Post_W_3	2nd_Post_MPB	Wet	Salvage_Harvested	4	3.2	0.153546785	0.0682	2.251419131
2Post_W_4	2nd_Post_MPB	Wet	Salvage_Harvested	3.5	2.85	0.153612933	NA	NA
2Post_W_5	2nd_Post_MPB	Wet	Salvage_Harvested	2.8	2.15	0.1256	0.059	2.128813559
2Post_W_6	2nd_Post_MPB	Wet	Salvage_Harvested	NA	NA	NA	NA	NA
2Post_W_7	2nd_Post_MPB	Wet	Salvage_Harvested	NA	NA	NA	NA	NA
2Post_W_8	2nd_Post_MPB	Wet	Salvage_Harvested	NA	NA	NA	NA	NA
2Post_W_9	2nd_Post_MPB	Wet	Salvage_Harvested	2.2	1.4	0.0395	0.0479	0.824634656
2Post_W_10	2nd_Post_MPB	Wet	Salvage_Harvested	NA	NA	NA	NA	NA
2Post_W_11	2nd_Post_MPB	Wet	Salvage_Harvested	NA	NA	NA	NA	NA
2Post_W_12	2nd_Post_MPB	Wet	Salvage_Harvested	NA	NA	NA	NA	NA
2Post_W_13	2nd_Post_MPB	Wet	Salvage_Harvested	NA	NA	NA	NA	NA
2Post_W_14	2nd_Post_MPB	Wet	Salvage_Harvested	NA	NA	NA	NA	NA
2Post_W_15	2nd_Post_MPB	Wet	Salvage_Harvested	2.5	0.85	0.0496	0.0143	3.468531469
2Post_W_16	2nd_Post_MPB	Wet	Salvage_Harvested	NA	NA	NA	NA	NA
2Post_W_17	2nd_Post_MPB	Wet	Salvage_Harvested	2.5	2.45	0.1538	0.0535	2.874766355
2Post_W_18	2nd_Post_MPB	Wet	Salvage_Harvested	3.7	3.4	0.259984186	0.0682	3.812084844
2Post_W_19	2nd_Post_MPB	Wet	Salvage_Harvested	NA	NA	NA	NA	NA
2Post_W_20	2nd_Post_MPB	Wet	Salvage_Harvested	NA	NA	NA	NA	NA
2Post_W_21	2nd_Post_MPB	Wet	Salvage_Harvested	2.7	2.2	0.176	0.0823	2.138517618
2Post_W_22	2nd_Post_MPB	Wet	Salvage_Harvested	NA	NA	NA	NA	NA
2Post_W_23	2nd_Post_MPB	Wet	Salvage_Harvested	2	1.8	0.0429	0.0253	1.695652174
2Post_W_24	2nd_Post_MPB	Wet	Salvage_Harvested	NA	NA	NA	NA	NA
2Post_W_25	2nd_Post_MPB	Wet	Salvage_Harvested	4	3.35	0.190318516	0.0883	2.155362585
2Post_W_26	2nd_Post_MPB	Wet	Salvage_Harvested	3.2	3.25	0.153574212	0.0543	2.828254369
2Post_W_27	2nd_Post_MPB	Wet	Salvage_Harvested	NA	NA	NA	NA	NA
2Post_W_28	2nd_Post_MPB	Wet	Salvage_Harvested	NA	NA	NA	NA	NA
2Post_W_29	2nd_Post_MPB	Wet	Salvage_Harvested	NA	NA	NA	NA	NA
2Post_W_30	2nd_Post_MPB	Wet	Salvage_Harvested	3.3	2.3	0.0869	0.0652	1.332822086
RC_W_1	Recent_Cut	Wet	Salvage_Harvested	NA	NA	NA	NA	NA
RC_W_2	Recent_Cut	Wet	Salvage_Harvested	NA	NA	NA	NA	NA
RC_W_3	Recent_Cut	Wet	Salvage_Harvested	4.6	4.25	0.3441	0.1271	2.707317073
RC_W_4	Recent_Cut	Wet	Salvage_Harvested	NA	NA	NA	NA	NA
RC_W_5	Recent_Cut	Wet	Salvage_Harvested	NA	NA	NA	NA	NA
RC_W_6	Recent_Cut	Wet	Salvage_Harvested	4.4	5	NA	NA	NA
RC_W_7	Recent_Cut	Wet	Salvage_Harvested	3.5	2.95	0.2085	0.0942	2.213375796
RC_W_8	Recent_Cut	Wet	Salvage_Harvested	NA	NA	NA	NA	NA
RC_W_9	Recent_Cut	Wet	Salvage_Harvested	3.2	3.5	0.348233721	0.0526	6.620412951
RC_W_10	Recent_Cut	Wet	Salvage_Harvested	3.3	2.75	0.1684	0.0676	2.49112426
RC_W_11	Recent_Cut	Wet	Salvage_Harvested	3.5	2.9	0.3589	0.1187	3.02358888
RC_W_12	Recent_Cut	Wet	Salvage_Harvested	NA	NA	NA	NA	NA
RC_W_13	Recent_Cut	Wet	Salvage_Harvested	NA	NA	NA	NA	NA
RC_W_14	Recent_Cut	Wet	Salvage_Harvested	NA	NA	NA	NA	NA
RC_W_15	Recent_Cut	Wet	Salvage_Harvested	4.5	3.25	0.2281	0.1249	1.826261009
RC_W_16	Recent_Cut	Wet	Salvage_Harvested	4.8	4.65	0.648892606	0.111	5.845879333
RC_W_17	Recent_Cut	Wet	Salvage_Harvested	4.3	3.65	0.3025	0.1428	2.118347339
RC_W_18	Recent_Cut	Wet	Salvage_Harvested	NA	NA	NA	NA	NA
RC_W_19	Recent_Cut	Wet	Salvage_Harvested	4.6	3.5	0.3458	0.1591	2.173475801
RC_W_20	Recent_Cut	Wet	Salvage_Harvested	4.9	3.8	0.3915	0.1385	2.826714801
RC_W_21	Recent_Cut	Wet	Salvage_Harvested	NA	NA	NA	NA	NA
RC_W_22	Recent_Cut	Wet	Salvage_Harvested	4.3	3.35	0.753671726	0.0897	8.402137415
RC_W_23	Recent_Cut	Wet	Salvage_Harvested	3.2	2.8	0.276726836	NA	NA
RC_W_24	Recent_Cut	Wet	Salvage_Harvested	NA	NA	NA	NA	NA
RC_W_25	Recent_Cut	Wet	Salvage_Harvested	4.3	5.4	0.4821	0.3041	1.585333772
RC_W_26	Recent_Cut	Wet	Salvage_Harvested	5	4.5	1.454678897	0.139	10.4653158
RC_W_27	Recent_Cut	Wet	Salvage_Harvested	4.3	3.65	0.737444011	0.0996	7.404056335
RC_W_28	Recent_Cut	Wet	Salvage_Harvested	NA	NA	0.2577	0.1043	2.47075743
RC_W_29	Recent_Cut	Wet	Salvage_Harvested	4.6	4.65	0.3597	0.166	2.16686747
RC_W_30	Recent_Cut	Wet	Salvage_Harvested	NA	NA	NA	NA	NA
